,gender,emotion,position,path
0,MALE,DISGUST,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_1.jpg
1,MALE,HAPPINESS,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_11.jpg
2,MALE,HAPPINESS,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_12.jpg
3,MALE,HAPPINESS,LEFT,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_13.jpg
4,MALE,HAPPINESS,LEFT,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_14.jpg
5,MALE,HAPPINESS,LEFT,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_15.jpg
6,MALE,SURPRISE,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_16.jpg
7,MALE,DISGUST,DOWN,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_18.jpg
8,MALE,SURPRISE,DOWN,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_19.jpg
9,MALE,DISGUST,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_2.jpg
10,MALE,SURPRISE,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_20.jpg
11,MALE,SURPRISE,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_21.jpg
12,MALE,HAPPINESS,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_22.jpg
13,MALE,HAPPINESS,LEFT,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_24.jpg
14,MALE,DISGUST,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_27.jpg
15,MALE,SADNESS,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_28.jpg
16,MALE,SADNESS,RIGHT,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_3.jpg
17,MALE,NEUTRAL,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_30.jpg
18,MALE,NEUTRAL,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_31.jpg
19,MALE,NEUTRAL,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_32.jpg
20,MALE,DISGUST,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_33.jpg
21,MALE,DISGUST,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_34.jpg
22,MALE,DISGUST,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_35.jpg
23,MALE,DISGUST,RIGHT,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_36.jpg
24,MALE,DISGUST,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_37.jpg
25,MALE,HAPPINESS,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_38.jpg
26,MALE,HAPPINESS,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_40.jpg
27,MALE,HAPPINESS,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_41.jpg
28,MALE,HAPPINESS,LEFT,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_42.jpg
29,MALE,NEUTRAL,LEFT,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_44.jpg
30,MALE,NEUTRAL,DOWN,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_46.jpg
31,MALE,NEUTRAL,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_47.jpg
32,MALE,HAPPINESS,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_5.jpg
33,MALE,DISGUST,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_6.jpg
34,MALE,HAPPINESS,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_7.jpg
35,MALE,HAPPINESS,FRONTAL,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_8.jpg
36,MALE,DISGUST,RIGHT,./data/IMFDB_final/Mammukoya/Gajarajayogam/images/Mamukkoya_9.jpg
0,MALE,DISGUST,FRONTAL,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_1.jpg
1,MALE,HAPPINESS,FRONTAL,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_10.jpg
2,MALE,HAPPINESS,RIGHT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_12.jpg
3,MALE,HAPPINESS,RIGHT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_13.jpg
4,MALE,HAPPINESS,RIGHT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_14.jpg
5,MALE,HAPPINESS,LEFT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_15.jpg
6,MALE,HAPPINESS,FRONTAL,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_16.jpg
7,MALE,HAPPINESS,RIGHT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_18.jpg
8,MALE,SADNESS,FRONTAL,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_19.jpg
9,MALE,DISGUST,FRONTAL,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_2.jpg
10,MALE,DISGUST,LEFT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_20.jpg
11,MALE,HAPPINESS,LEFT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_21.jpg
12,MALE,DISGUST,RIGHT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_22.jpg
13,MALE,HAPPINESS,RIGHT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_23.jpg
14,MALE,HAPPINESS,RIGHT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_26.jpg
15,MALE,DISGUST,LEFT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_27.jpg
16,MALE,DISGUST,RIGHT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_29.jpg
17,MALE,DISGUST,RIGHT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_34.jpg
18,MALE,DISGUST,LEFT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_35.jpg
19,MALE,DISGUST,RIGHT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_37.jpg
20,MALE,DISGUST,UP,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_38.jpg
21,MALE,DISGUST,UP,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_39.jpg
22,MALE,DISGUST,FRONTAL,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_4.jpg
23,MALE,DISGUST,FRONTAL,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_40.jpg
24,MALE,DISGUST,LEFT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_41.jpg
25,MALE,DISGUST,RIGHT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_42.jpg
26,MALE,DISGUST,LEFT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_43.jpg
27,MALE,DISGUST,LEFT,./data/IMFDB_final/Mammukoya/SubInspectorJackichan/images/Mammukoya_44.jpg
